time,velocity,long_creepage,yaw_angle,wear_number,lateral_displacement,lateral_creepage,spin_creepage,yaw_angle_pos,contact_angle,long_creep_force,lateral_creep_force
6.72,5.55726,0.00110099,-0.00746725,0.753658,0.00223463,-0.000306288,0.130582,-0.000608616,0.0406096,1746.62,-319.128
1.65,11.3291,0.00327325,0.000210602,0.406075,-0.000478052,6.86145e-05,0.180027,1.6858e-05,0.055857,-1134.98,1519.72
34.3,5.56407,0.0370235,0.0177114,331.012,-0.00494612,0.0468458,0.857351,-0.0469891,0.258165,3394.24,4280.26
61.4,5.55113,0.0163225,0.00274902,54.5533,-0.0021974,0.00578699,1.82422,-0.0045524,0.607325,-3360.17,7122.25
32.2,8.31977,-7.44556e-05,0.00428185,1.73681,0.000544144,0.000559662,0.0444393,0.00173571,0.0139356,-1215.53,2560.2
34.45,8.31525,-0.00320953,-0.00116405,10.4423,-0.00099734,-0.000966759,0.0620565,0.000701613,0.0199613,6023.73,-3588.42
21.42,5.54839,0.00092187,-0.000968619,0.0360285,-8.73809e-05,-4.78399e-05,0.127287,0.000986775,0.0394903,-50.6201,742.104
23.2,8.33139,-0.000694801,0.00077232,9.93683,-0.000215176,-0.000982615,0.171696,-0.00147836,0.0534615,5823.3,-2550.52
42.26,5.54788,0.000299573,-0.00171461,0.224353,0.00064484,0.000122119,0.150987,-0.00183916,0.0469357,435.216,1462.81
43.64,8.32468,-0.000195802,-0.00317359,14.1473,-4.63145e-05,0.000205103,0.651603,0.00317248,0.203683,-6365.21,5747.03
18.33,13.9094,-0.00314849,-0.00154538,59.86,-0.00407142,0.00301209,1.04662,-0.00227402,0.332244,-6851.7,4392.36
79.64,5.54792,-0.0011443,0.00886326,8.40993,-0.00309541,-0.000506753,0.0881201,-0.000513918,0.0281637,5892.81,-1276.06
14.01,5.55066,0.000209732,-0.00220557,4.5686,0.00154232,0.000284095,0.199075,0.00237485,0.0618076,-3914.14,2375.41
52.35,5.57995,-0.0223036,0.0056776,232.37,0.00516819,-0.0454232,-0.0253527,0.0425983,0.0044794,-2081.83,-4185.71
7.61,5.54658,-0.000263299,-0.0025394,0.176146,0.00126816,-9.95212e-05,0.254266,-0.00148142,0.0789535,-72.9759,1758.81
47.36,5.55056,-0.00797538,0.0181141,227.423,0.00423257,-0.0434984,-0.0145663,0.0423347,0.00823285,-2132.79,-4380.35
18.93,5.55003,0.000114988,0.00315555,0.339117,4.29437e-05,-6.70453e-05,0.0188924,0.00103667,0.00606422,1436.33,-193.788
1.79,5.17389,0.00164888,-4.0059e-05,0.00529083,-9.77696e-06,2.78598e-06,0.154652,3.65251e-06,0.0480039,-99.6021,1080.04
48.99,13.8885,0.000503841,-0.00339546,0.0181077,-1.86499e-05,-1.89717e-05,0.125598,0.000752759,0.0390137,-60.42,917.833
34.62,5.53935,0.0350714,0.00494235,355.2,-0.00401875,0.0470011,0.852123,-0.0469377,0.255999,3577.69,4823.56
21.54,8.34944,-0.00029256,-0.00493728,0.634459,0.00561202,-0.00032205,0.207813,-0.00322444,0.0642987,1624.39,201.855
96.6,5.55006,-9.89534e-05,5.84202e-05,0.0661699,-0.000235584,-4.2208e-05,0.142348,-4.58706e-05,0.0442192,372.802,829.162
